Ref,Item No.,NC#,Field 1,Field 2,Description,Area(m^2)(Metal),Area(m^2)(Ins)
HTH,  56,  183001,  Basement-1,  ,  T-Radius Offset,  1.8,  0.0
HTH,  57,  183001,  Basement-1,  ,  TDFL STRT,  2.9,  0.0
HTH,  58,  183001,  Basement-1,  ,  T-RAD-B,  1.6,  0.0
HTH,  59,  183001,  Basement-1,  ,  TDFL STRT,  2.3,  0.0
HTH,  60,  183001,  Basement-1,  ,  T-RAD-B,  1.6,  0.0
HTH,  61,  183001,  Basement-1,  ,  T-RAD-B,  1.4,  0.0
HTH,  62,  183001,  Basement-1,  ,  TDFL STRT,  2.0,  0.0
HTH,  63,  183001,  Basement-1,  ,  T-RAD-B,  0.7,  0.0
HTH,  65,  183001,  Basement-1,  ,  TDFL STRT,  2.3,  0.0
HTH,  66,  183001,  Basement-1,  ,  T-Taper,  2.0,  0.0
HTH,  68,  183001,  Basement-1,  ,  T-RAD-B,  1.4,  0.0
HTH,  69/1,  183001,  Basement-1,  ,  RND Spigot,  0.1,  0.0
HTH,  69/2,  183001,  Basement-1,  ,  RND Spigot,  0.1,  0.0
HTH,  69/3,  183001,  Basement-1,  ,  RND Spigot,  0.1,  0.0
HTH,  69/4,  183001,  Basement-1,  ,  RND Spigot,  0.2,  0.0
